word,phonetic,definition_zh,definition_en,example,tags,audio_file
gloomy,'ɡlumi,adj  忧郁的， 令人沮丧的； 昏暗的， 阴暗的， 阴沉的,making you feel that things will not improve,The report paints a gloomy picture of the economy.,sholvoir;toefl;exam;core,
reproach,rɪ'protʃ,v&n  指责， 斥责， 批评,"criticism, blame, or disapproval","‘You don’t need me,’ she said quietly, without reproach.",sholvoir;toefl;exam;core,
customs,'kʌstəmz,n  关税， 进口税； 海关,Customs is the official organization responsible for collecting taxes on goods coming into a country and preventing illegal goods from being brought in,What right does Customs have to search my car?,sholvoir;toefl;exam;core,
warrant,'wɔrənt,n 授权，批准；许可证；委任状，执行令; vt  保证， 担保； 使正当,"a legal document that is signed by a judge, allowing the police to take a particular action; to promise that something is true","The company issued warrants for 300,000 shares.",sholvoir;toefl;exam;core,
sake,sek,n  缘故， 理由； 好处,,He moved to the seaside for the sake of his health.,sholvoir;toefl;exam;core,
conceal,kən'sil,vt  隐蔽； 隐瞒； 覆盖,to hide something carefully,The shadows concealed her as she crept up to the house.,sholvoir;toefl;exam;core,
solid,'sɑlɪd,adj 固体的；实心的；结实的，稳固的；可靠的；连续的; n  固体,"hard or firm, with a fixed shape, and not a liquid or gas; a firm object or substance that has a fixed shape, not a gas or liquid",The lake was frozen solid .,sholvoir;toefl;exam;core,
narrative,'nærətɪv,adj  叙述性的; n 叙述；记叙体，叙述技巧,"a description of events in a story, especially in a novel",The novel contains more narrative than dialogue.,sholvoir;toefl;exam;core,
coincide,",koɪn'saɪd",vi  同时发生； 一致， 相符； 重合,"to happen at the same time as something else, especially by chance","When our vacations coincided, we often holidayed together.",sholvoir;toefl;exam;core,
circular,'sɝkjəlɚ,adj  圆形的， 环形的； 循环的； 绕行的,shaped like a circle,a circular table,sholvoir;toefl;exam;core,
scratch,skrætʃ,vt 刮擦，划；抓，搔; n  划痕； 挠痒,to rub your skin with your nails because it feels uncomfortable; a small cut on someone’s skin,John yawned and scratched his leg.,sholvoir;toefl;exam;core,
require,rɪ'kwaɪr,vt  需要； 要求， 命令,to need something,Campbell’s broken leg will probably require surgery.,sholvoir;toefl;exam;core,
cooperative,ko'ɑpərətɪv,adj 合作的，协作的；配合的; n  合作企业,willing to cooperate; a business or organization owned equally by all the people working there,He was doing his best to be cooperative.,sholvoir;toefl;exam;core,
willow,'wɪlo,n  柳， 柳树； 柳木制品,"a type of tree that has long thin branches and grows near water, or the wood from this tree",,sholvoir;toefl;exam;core,
corporeal,kɔr'pɔrɪəl,adj  肉体的， 身体的； 物质的； 实体的,"relating to the body, rather than to the mind, feelings, or spirit",corporeal desires,sholvoir;toefl;exam;core,
irritable,'ɪrɪtəbl,adj  急躁的， 易怒的； 易受刺激的； 过敏的,getting annoyed quickly or easily,"Jo was tired, irritable, and depressed.",sholvoir;toefl;exam;core,
triple,'trɪpl,v 增至三倍; adj  三部分的； 三方的； 三倍的,"to increase by three times as much, or to make something do this; having three parts or involving three groups, people, events etc",The company has tripled in size .,sholvoir;toefl;exam;core,
temper,'tɛmpɚ,n 脾气，性情; vt  缓和， 调节,a tendency to become angry suddenly or easily; to make something less severe or extreme,That temper of hers will get her into trouble one of these days.,sholvoir;toefl;exam;core,
legible,'lɛdʒəbl,adj  清楚的； 易读的,written or printed clearly enough for you to read,Her handwriting was so tiny it was barely legible.,sholvoir;toefl;exam;core,
tickle,'tɪkl,v 发痒；使高兴，逗乐; n  痒,"if something touching your body tickles you, it makes you want to rub your body because it is slightly uncomfortable; a feeling in your throat that makes you want to cough","Mommy, this blanket tickles.",sholvoir;toefl;exam;core,
cardiac,'kɑrdɪæk,adj  心脏的； 心脏病的,relating to the heart,cardiac surgery,sholvoir;toefl;exam;core,
accessible,ək'sɛsəbl,adj  易接近的； 可得到的； 可进入的,"a place, building, or object that is accessible is easy to reach or get into",The island is only accessible by boat.,sholvoir;toefl;exam;core,
ageism,'edʒ'ɪzəm,n  年龄歧视,unfair treatment of people because they are old,The problem of ageism in the workplace often goes unrecognized.,sholvoir;toefl;exam;core,
cliff,klɪf,n  悬崖， 峭壁,"a large area of rock or a mountain with a very steep side, often at the edge of the sea or a river",The car rolled over the edge of a cliff.,sholvoir;toefl;exam;core,
roll,rol,v 滚动，转动；卷，绕；摇摆，摇晃; n  卷； 卷形物； 名单， 花名册,"if something rolls, especially something round, or if you roll it, it moves along a surface by turning over and over; a piece of paper, camera film, money etc that has been rolled into the shape of a tube",His sleeves were rolled above his elbows.,sholvoir;toefl;exam;core,
notable,'notəbl,adj 值得注意的，明显的；显著的；著名的；重要的; n  名人， 要人,"important, interesting, excellent, or unusual enough to be noticed or mentioned","Every country in the world signed the treaty, with one notable exception - the United States.",sholvoir;toefl;exam;core,
concede,kən'sid,v  承认； 让步； 允许,"to admit that something is true or correct, although you wish it were not true","‘That’s the only possible solution.’ ‘Yes, I suppose so,’ Charles conceded.",sholvoir;toefl;exam;core,
unparalleled,ʌn'pærəlɛld,adj  空前的， 无比的,"bigger, better, or worse than anything else",an achievement unparalleled in sporting history,sholvoir;toefl;exam;core,
evaporate,ɪ'væpəret,v  蒸发； 消失， 不复存在,"if a liquid evaporates, or if heat evaporates it, it changes into a gas",Most of the water had evaporated.,sholvoir;toefl;exam;core,
luminosity,",lʊmə'nɑsəti",n  亮度， 发光度； 光明,The luminosity of a star or sun is how bright it is,"For a few years its luminosity flared up to about 10,000 times the present-day luminosity of the Sun.",sholvoir;toefl;exam;core,
commission,kə'mɪʃən,n 授权，委任；委员会；佣金，回扣; vt  委托， 授权,"a group of people who have been given the official job of finding out about something or controlling something; to formally ask someone to write an official report, produce a work of art for you etc",The Government set up a commission to investigate allegations of police violence.,sholvoir;toefl;exam;core,
policy,'pɑləsi,n  政策， 方针； 原则； 保险单,"a way of doing something that has been officially agreed and chosen by a political party, a business, or another organization",an insurance policy,sholvoir;toefl;exam;core,
resume,rɪ'zuːm,v  重新开始， 继续,to start doing something again after stopping or being interrupted,She hopes to resume work after the baby is born.,sholvoir;toefl;exam;core,
provocative,prə'vɑkətɪv,adj  挑衅的， 煽动性的； 惹人讨厌的； 挑逗的,"provocative behaviour, remarks etc are intended to make people angry or upset, or to cause a lot of discussion",a provocative act by a terrorist group,sholvoir;toefl;exam;core,
address,əˈdrɛs;(for n)ˈædres; ædrɛs,v  作讲话； 写姓名地址; n 地址；讲话,"if you address an envelope, package etc, you write on it the name and address of the person you are sending it to; the details of the place where someone lives or works, which you use to send them letters etc","Send a stamped, self-addressed envelope (=  with your address on it so it can be sent back to you  ) .",sholvoir;toefl;exam;core,
spiral,'spaɪrəl,vi 盘旋；盘旋上升；急剧增长; adj 螺旋形的; n  螺旋形； 螺旋式的上升,"to move in a continuous curve that gets nearer to or further from its central point as it goes round; Spiral is also an adjective; a line in the form of a curve that winds around a central point, moving further away from the centre all the time",Crime has spiraled out of control .,sholvoir;toefl;exam;core,
artistic,ɑr'tɪstɪk,adj  艺术的； 富有艺术性的， 精美的； 有艺术天赋的,relating to art or culture,artistic work,sholvoir;toefl;exam;core,
ramble,'ræmbl,vi 漫游；漫谈，闲聊; n  漫步,to go on a walk in the countryside for pleasure; a walk in the countryside for pleasure,There’s plenty to discover as you ramble around this little island.,sholvoir;toefl;exam;core,
vocation,vo'keʃən,n  职业； 使命感； 圣召,a strong belief that you have been chosen by God to be a priest or a nun,It could well be that he has a real vocation.,sholvoir;toefl;exam;core,
halt,hɔlt,v  停住， 停下; n 停止，阻止；暂停,to stop moving; a stop or pause,The parade halted by a busy corner.,sholvoir;toefl;exam;core,
throw,θro,v 投，掷，抛；丢，扔；使陷入，使处于；使困惑，使吃惊; n  投， 掷， 抛； 投掷的距离,to make an object such as a ball move quickly through the air by pushing your hand forward quickly and letting the object go; an action in which someone throws something,The bus stopped suddenly and we were all thrown forwards.,sholvoir;toefl;exam;core,
sunset,'sʌnsɛt,n  日落， 傍晚,the time of day when the sun disappears and night begins,a glorious sunset,sholvoir;toefl;exam;core,
stature,'stætʃɚ,n  身材， 身高； 地位， 声望， 名望,the degree to which someone is admired or regarded as important,He grew in stature (= became more admired or popular ) during the campaign.,sholvoir;toefl;exam;core,
dogged,'dɔɡɪd,adj  顽强的， 坚持不懈的； 顽固的， 固执的,dogged behaviour shows that you are very determined to continue doing something,a dogged determination to succeed,sholvoir;toefl;exam;core,
plasma,'plæzmə,n  血浆； 等离子体,the yellowish liquid part of blood that contains the blood cells,"Now there are no gaps, so this is the state of matter, and this was the state of a plasma.",sholvoir;toefl;exam;core,
exorbitant,ɪɡ'zɔrbɪtənt,adj  过高的， 不合理的,"an exorbitant price, amount of money etc is much higher than it should be",Exorbitant housing prices have created an acute shortage of affordable housing for the poor.,sholvoir;toefl;exam;core,
surgery,'sɝdʒəri,n  外科手术； 外科学； 手术室， 诊疗室,medical treatment in which a surgeon cuts open your body to repair or remove something inside,Dr. Hanson is in surgery.,sholvoir;toefl;exam;core,
violent,'vaɪələnt,adj  暴力的； 感情强烈的， 激情的； 强烈的， 激烈的,"involving actions that are intended to injure or kill people, by hitting them, shooting them etc",the increase in violent crime,sholvoir;toefl;exam;core,
inaccessible,",ɪnæk'sɛsəbl",adj  难达到的， 不可及的； 不能得到的,difficult or impossible to reach,"In winter, the villages are inaccessible by road.",sholvoir;toefl;exam;core,
resolve,rɪ'zɑlv,v 解决；决定，决心；分解；显现; n  决心， 决议,to find a satisfactory way of dealing with a problem or difficulty; strong determination to succeed in doing something,Barnet was desperate for money to resolve his financial problems.,sholvoir;toefl;exam;core,
choreograph,'kɔriəɡrɑ:f,v  设计舞蹈动作， 编舞,to arrange how dancers should move during a performance,The show is very cleverly choreographed.,sholvoir;toefl;exam;core,
confront,kən'frʌnt,vt  使面临， 使遭遇； 对抗,"if a problem, difficulty etc confronts you, it appears and needs to be dealt with",The problems confronting the new government were enormous.,sholvoir;toefl;exam;core,
nonverbal,",nɑn'vɝbl",adj  非语言的,not using words,nonverbal forms of communication,sholvoir;toefl;exam;core,
deploy,dɪ'plɔɪ,vt  部署， 调度； 利用,"to organize or move soldiers, military equipment etc so that they are in the right place and ready to be used",a job in which a variety of professional skills will be deployed,sholvoir;toefl;exam;core,
reproduce,",riprə'dus",v  繁殖， 生育； 复制； 再现,"if an animal or plant reproduces, or reproduces itself, it produces young plants or animals",The turtles return to the coast to reproduce.,sholvoir;toefl;exam;core,
skeleton,'skɛlɪtn,n  梗概， 提纲； 骨架， 骨骼； 框架,"the most important parts of something, to which more detail can be added later",We agreed on a skeleton outline of the proposal.,sholvoir;toefl;exam;core,
huddle,'hʌdl,vi  聚集在一起， 挤作一团； 蜷缩， 缩成一团， 蜷缩; n 挤在一起的人,"if a group of people huddle together, they stay very close to each other, especially because they are cold or frightened; a group of people or things that are close together, but not arranged in any particular order, pattern, or system",We lay huddled together for warmth.,sholvoir;toefl;exam;core,
syntactic,sɪn'tæktɪk,adj  句法的； 按照句法的,relating to syntax,syntactic structure,sholvoir;toefl;exam;core,
rendition,rɛn'dɪʃən,n  表演， 演唱； 提供， 给予； 翻译,"someone’s performance of a play, piece of music etc",He gave a moving rendition of Lennon’s ‘Imagine’.,sholvoir;toefl;exam;core,
intersection,",ɪntɚ'sɛkʃən",n  交点； 十字路口， 道路交叉口,"a place where roads, lines etc cross each other, especially where two roads meet",We crossed at a busy intersection.,sholvoir;toefl;exam;core,
scholarship,'skɑlɚʃɪp,n  奖学金； 学问， 学识,an amount of money that is given to someone by an educational organization to help pay for their education,Her latest publication is a fine piece of scholarship.,sholvoir;toefl;exam;core,
myriad,'miriəd,adj  无数的； 大量的; n 无数；大量,very many; a very large number of things,the myriad causes of homelessness,sholvoir;toefl;exam;core,
besides,bɪ'saɪdz,adv  而且， 还有; prep 除…之外,used when adding another reason,"I need the money. And besides, when I agree to do something, I do it.",sholvoir;toefl;exam;core,
implement,'ɪmplɪmɛnt,vt  使生效， 执行， 实施,to take action or make changes that you have officially decided should happen,The government promised to implement a new system to control financial loan institutions.,sholvoir;toefl;exam;core,
disperse,dɪ'spɝs,v  分散， 散开； 疏散； 散布,"if a group of people disperse or are dispersed, they go away in different directions",Police used tear gas to disperse the crowd.,sholvoir;toefl;exam;core,
erratic,ɪ'rætɪk,adj  古怪的， 反复无常的； 不规则的； 不稳定的,something that is erratic does not follow any pattern or plan but happens in a way that is not regular,His breathing was becoming erratic.,sholvoir;toefl;exam;core,
incinerate,in'sinəreit,vt  焚化， 焚毁,,Which is better to incinerate the rubbish from our towns or to tip it into disused quarries?,sholvoir;toefl;exam;core,
fantasy,'fæntəsi,n  想象， 幻想,"an exciting and unusual experience or situation you imagine happening to you, but which will probably never happen",I used to have fantasies about living in Paris with an artist.,sholvoir;toefl;exam;core,
capillary,'kæpəlɛri,adj  毛状的； 毛细血管的; n 毛细血管,the smallest type of  blood vessel (= tube carrying blood )  in the body,This consists of a capillary connected to a mercury reservoir.,sholvoir;toefl;exam;core,
deform,dɪ'fɔrm,v  变形,"if you deform something, or if it deforms, its usual shape changes so that its usefulness or appearance is spoiled",Wearing badly-fitting shoes can deform your feet.,sholvoir;toefl;exam;core,
erode,ɪ'rod,v  侵蚀， 腐蚀,"if the weather erodes rock or soil, or if rock or soil erodes, its surface is gradually destroyed",The cliffs are being constantly eroded by heavy seas.,sholvoir;toefl;exam;core,
informative,ɪn'fɔrmətɪv,adj  提供消息的， 给予知识的； 见闻广博的,Something that is informative gives you useful information,Both men termed the meeting friendly and informative.,sholvoir;toefl;exam;core,
check,tʃɛk,n 支票；账单；,the American spelling of  cheque ,Can you cash this check for me?,sholvoir;toefl;exam;core,
frustrate,'frʌstret,vt  使感到灰心， 挫败； 阻止,"to prevent someone’s plans, efforts, or attempts from succeeding",Their attempts to speak to him were frustrated by the guards.,sholvoir;toefl;exam;core,
sparse,spɑrs,adj  稀疏的， 稀少的； 贫乏的,existing only in small amounts,his sparse brown hair,sholvoir;toefl;exam;core,
gorgeous,'ɡɔrdʒəs,adj  漂亮的； 令人愉快的； 华丽的， 灿烂的,extremely pleasant or enjoyable,a gorgeous cake,sholvoir;toefl;exam;core,
pragmatic,præg'mætɪk,adj  务实的， 注重实效的， 实用的,dealing with problems in a sensible practical way instead of strictly following a set of ideas,Williams took a more pragmatic approach to management problems.,sholvoir;toefl;exam;core,
erosion,ɪ'roʒən,n  腐蚀， 侵蚀； 削弱， 减少,"the process by which rock or soil is gradually destroyed by wind, rain, or the sea",the problem of soil erosion,sholvoir;toefl;exam;core,
methane,'mɛθen,n  甲烷， 沼气,"a gas that you cannot see or smell, which can be burned to give heat",Methane is one of the principal gases contributing to the greenhouse effect.,sholvoir;toefl;exam;core,
tectonic,tɛk'tɑnɪk,adj  地壳构造的,relating to  plate tectonics ,tectonic movements,sholvoir;toefl;exam;core,
superstitious,'sʊpɚ'stɪʃəs,adj  迷信的， 受迷信思想支配的,influenced by superstitions,a superstitious woman,sholvoir;toefl;exam;core,
ascend,ə'sɛnd,v  上升， 升高； 攀登,to move up through the air,The plane ascended rapidly.,sholvoir;toefl;exam;core,
elasticity,",ilæ'stɪsəti",n  弹力； 弹性,the ability of something to stretch and go back to its usual length or size,the skin’s natural elasticity,sholvoir;toefl;exam;core,
proactive,",pro'æktɪv",adj  积极主动的； 先发制人的,making things happen or change rather than reacting to events,a proactive approach to staffing requirements,sholvoir;toefl;exam;core,
aboriginal,",æbə'rɪdʒənl",adj 原始的；土著的，土生土长的; n  土著,relating to the people or animals that have existed in a place or country from the earliest times; an aborigine,...Aboriginal art.,sholvoir;toefl;exam;core,
indispensable,'ɪndɪ'spɛnsəbl,adj  必不可少的,someone or something that is indispensable is so important or useful that it is impossible to manage without them,Mobile phones have become an indispensable part of our lives.,sholvoir;toefl;exam;core,
lens,lɛnz,n  透镜； 镜头； 镜片,the part of a camera through which the light travels before it reaches the film,a standard 50mm lens,sholvoir;toefl;exam;core,
embody,ɪm'bɑdi,vt  表达， 体现； 含有,to be a very good example of an idea or quality,She embodies everything I admire in a teacher.,sholvoir;toefl;exam;core,
verifiable,"'vɛrə,faɪəbl",adj  可证实的， 可核实的,Something that is verifiable can be proved to be true or genuine,This is not a romantic notion but verifiable fact.,sholvoir;toefl;exam;core,
comprehensible,'kɑmprɪ'hɛnsəbl,adj  可理解的， 能懂的， 能充分理解的,easy to understand,Her speech was slurred and barely comprehensible.,sholvoir;toefl;exam;core,
motive,'motɪv,adj  发动的； 导致运动的; n 动机，目的,"the motive power or force for a machine, vehicle etc makes it move; the reason that makes someone do something, especially when this reason is kept hidden",Water provided the motive power for the mill.,sholvoir;toefl;exam;core,
elliptical,ɪ'lɪptɪkl,adj  椭圆的； 隐晦的； 省略的， 简略的,having the shape of an ellipse,Kepler published his discovery of the elliptical orbits of planets in 1609. 1609,sholvoir;toefl;exam;core,
emancipate,ɪ'mænsɪpet,vt  解放， 解除,to give someone the political or legal rights that they did not have before,Slaves were emancipated in 1834.,sholvoir;toefl;exam;core,
romantic,ro'mæntɪk,adj  爱情的； 浪漫的， 富有情调的； 多情的； 不切实际的， 幻想的； [R-]浪漫主义的,showing strong feelings of love,‘Tom always sends me red roses on my birthday.’ ‘How romantic!’,sholvoir;toefl;exam;core,
motivate,'motə'vet,vt  激励； 激发,to make someone want to achieve something and make them willing to work hard in order to do this,A good teacher has to be able to motivate her students.,sholvoir;toefl;exam;core,
spoil,spɔɪl,v  破坏； 宠坏， 溺爱； 变质,"to give a child everything they want, or let them do whatever they want, often with the result that they behave badly","She’s an only child, but they didn’t really spoil her.",sholvoir;toefl;exam;core,
multiply,'mʌltɪplaɪ,v  增加； 繁殖； 乘,to breed,Bacteria multiply quickly in warm food.,sholvoir;toefl;exam;core,
pasture,'pæstʃɚ,n 牧场，草原；,"land or a field that is covered with grass and is used for cattle, sheep etc to feed on",large areas of rough upland pasture,sholvoir;toefl;exam;core,
conducive,kən'dusɪv,adj  有助于…的， 有益于…的,"if a situation is conducive to something such as work, rest etc, it provides conditions that make it easy for you to work etc",an environment conducive to learning,sholvoir;toefl;exam;core,
pilot,'paɪlət,adj 试验性的; n 飞行员，领航员；领导人; vt  驾驶， 领航； 试行， 试用； 使通过， 引导,"A pilot plan or a pilot project is one that is used to test an idea before deciding whether to introduce it on a larger scale; someone who operates the controls of an aircraft or spacecraft; to test a new idea, product etc on people to find out whether it will be successful",The plan is to launch a pilot programme next summer.,sholvoir;toefl;exam;core,
curative,'kjʊrətɪv,adj 有助于治疗的，有疗效的; n  药物,able to or intended to cure illness,the spring’s alleged curative properties,sholvoir;toefl;exam;core,
cartilage,'kɑrtɪlɪdʒ,n  软骨,"a strong substance that can bend, which is around the joints in your body and in your outer ear",Andre Agassi has pulled out of next week's Grand Slam Cup after tearing a cartilage in his chest.,sholvoir;toefl;exam;core,
snide,snaɪd,adj  伪造的； 不诚实的； 讽刺的， 挖苦的， 含沙射影的,"if you say something snide, you say something unkind, often in a clever, indirect way",He made a snide comment about her weight.,sholvoir;toefl;exam;core,
multiple,'mʌltəpl,adj 多样的；多重的; n  倍数,"many, or involving many things, people, events etc; a number that contains a smaller number an exact number of times",Baxter was rushed to the hospital with multiple stab wounds.,sholvoir;toefl;exam;core,
expose,ɪk'spoz；ek-,vt  暴露， 显露； 揭露， 揭穿； 使接触， 使面临,to show something that is usually covered or hidden,He lifted his T-shirt to expose a jagged scar across his chest.,sholvoir;toefl;exam;core,
magnet,'mægnɪt,n  磁铁， 磁体； 有吸引力的人,a piece of iron or steel that can stick to metal or make other metal objects move towards itself,"Prospect Park, with its vast lake, is a magnet for all health freaks.",sholvoir;toefl;exam;core,
versatile,'vɝsətl,adj  多才多艺的； 多用途的,someone who is versatile has many different skills,a very versatile performer,sholvoir;toefl;exam;core,
concentrate,'kɑnsn'tret,v 集中，专心；,to think very carefully about something that you are doing,Now please concentrate.,sholvoir;toefl;exam;core,
versus,'vɝsəs,prep  对， 对抗； 与…相对， 与…相比,used to show that two people or teams are competing against each other in a game or court case,the New York Knicks versus the LA Lakers,sholvoir;toefl;exam;core,
penmanship,'pɛnmən'ʃɪp,n  书法,"the art of writing by hand, or skill in this art",children practicing their penmanship,sholvoir;toefl;exam;core,
tundra,'tʌndrə,n  苔原， 冻原， 冻土地带,"the large flat areas of land in the north of Russia, Canada etc, where it is very cold and there are no trees","Gley soils are typical of tundra , meadows, and boggy areas.",sholvoir;toefl;exam;core,
explosion,ɪk'sploʒən,n  爆炸； 爆发； 激增,a loud sound and the energy produced by something such as a bomb bursting into small pieces,We heard a loud explosion.,sholvoir;toefl;exam;core,
tinker,'tɪŋkɚ,vi 做焊锅匠；做拙劣修补; n  补锅匠,"in the past, a tinker was someone who travelled from place to place selling things or repairing metal pots, pans etc","Arcane nullifiers recognize Common, but only an experienced tinker, shouting out the correct codes, may command them.",sholvoir;toefl;exam;core,
populate,'pɑpjulet,vt  居住于,"if an area is populated by a particular group of people, they live there",The highlands are populated mainly by peasant farmers.,sholvoir;toefl;exam;core,
puncture,'pʌŋktʃɚ,v 刺穿；泄气，挫伤; n  小孔； 刺伤,"if a tyre punctures, or if you puncture it, a small hole appears in it; a small hole made accidentally in a tyre",A piece of glass punctured the back tyre.,sholvoir;toefl;exam;core,
permit,pɚ'mɪt,v  允许， 许可; n  许可证， 执照,"to allow something to happen, especially by an official decision, rule, or law; an official written statement giving you the right to do something",Smoking is only permitted in the public lounge.,sholvoir;toefl;exam;core,
translation,træns'leʃən,n  翻译； 译文， 译本,"when you translate something, or something that has been translated",She read the letter and gave us a rough translation (= she did not translate everything exactly ) .,sholvoir;toefl;exam;core,
personnel,",pɝsə'nɛl",n  全体人员， 员工,"the people who work in a company, organization, or military force",All personnel are to receive security badges.,sholvoir;toefl;exam;core,
splash,splæʃ,v  溅， 泼; n 重点文章；溅上的液体；斑点,"if a liquid splashes, it hits or falls on something and makes a noise; a mark made by a liquid splashing onto something else",The children were splashing about in the pool.,sholvoir;toefl;exam;core,
fountain,'faʊntn,n  喷泉； 丰富来源， 源泉,A fountain is an ornamental feature in a pool or lake which consists of a long narrow stream of water that is forced up into the air by a pump,...the fountains on the 16th Street Mall.,sholvoir;toefl;exam;core,
porcelain,ˈpɔrsələn,n  瓷器， 瓷,"a hard shiny white substance that is used for making expensive plates, cups etc",a porcelain vase,sholvoir;toefl;exam;core,
catalog,'kætəlɔg,n  目录,,Can you catalog all these books?,sholvoir;toefl;exam;core,
part-time,",pɑrt'taɪm",adj  兼职的； 部分时间的,someone who has a part-time job works for only part of each day or week,a part-time job,sholvoir;toefl;exam;core,
pioneer,",paɪə'nɪr",vt 开拓，开创; n  开拓者， 创始人,"to be the first person to do, invent or use something; someone who is important in the early development of something, and whose work or ideas are later developed by other people",The new cancer treatment was pioneered in the early eighties by Dr Sylvia Bannerjee.,sholvoir;toefl;exam;core,
chilly,'tʃɪli,adj  寒冷的； 冷淡的， 不友好的,chilly weather or places are cold enough to make you feel uncomfortable,"Getting chilly, isn’t it?",sholvoir;toefl;exam;core,
flagellum,flə'dʒɛləm,n [昆] 鞭毛；鞭子；鞭状匍匐枝,"a long whiplike outgrowth from a cell that acts as an organ of locomotion: occurs in some protozoans, gametes, spores, etc ",,sholvoir;toefl;exam;core,
rhinoceros,raɪ'nɑsərəs,n  犀牛,a large heavy African or Asian animal with thick skin and either one or two horns on its nose,"Some of the projects will also support conservation efforts of near-extinct animals in Kalimantan, including rhinoceros, Irrawaddy dolphins, and orangutans.",sholvoir;toefl;exam;core,
implication,'ɪmplɪ'keʃən,n  含义； 暗示， 暗指； 卷入， 牵连,a situation in which it is shown or suggested that someone or something is involved in a crime or a dishonest act,"They are called ‘Supertrams’, the implication being that (= which is meant to suggest that ) they are more advanced than earlier models.",sholvoir;toefl;exam;core,
fierce,fɪrs,adj  凶猛的， 残忍的； 狂热的， 强烈的； 激烈的， 猛烈的,"done with a lot of energy and strong feelings, and sometimes violence",fierce fighting in the city,sholvoir;toefl;exam;core,
reservation,",rɛzɚ'veʃən",n  预约， 预订； 保留意见， 疑惑； 居留地,"an arrangement which you make so that a place in a hotel, restaurant, plane etc is kept for you at a particular time in the future",a dinner reservation,sholvoir;toefl;exam;core,
block,blɑk,vt 阻塞；阻碍，妨碍; n  大块； 街区； 障碍物,to prevent anything moving through a space by being or placing something across it or in it; a piece of hard material such as wood or stone with straight sides,A fallen tree is blocking the road.,sholvoir;toefl;exam;core,
cordial,'kɔrdʒəl,adj  亲切的， 热诚的,friendly but quite polite and formal,The talks were conducted in a cordial atmosphere.,sholvoir;toefl;exam;core,
odorous,'odərəs,adj  有气味的， 难闻的； 香的， 芬芳的,having a smell,odorous gases,sholvoir;toefl;exam;core,
cooperation,"ko,ɑpə'reʃən",n  合作， 协作,when you work with someone to achieve something that you both want,the need to strengthen international co-operation,sholvoir;toefl;exam;core,
conceit,kən'sit,n  自负， 自大,an attitude that shows you have too high an opinion of your own abilities or importance,The conceit of the woman!,sholvoir;toefl;exam;core,
modulate,'mɑdʒəlet,v  调整， 调节； 调制,to change the sound of your voice,These drugs modulate the disease process.,sholvoir;toefl;exam;core,
mottled,'mɑtld,adj  有杂色的， 斑驳的,covered with spots or coloured areas,"His red, mottled face showed the effect of too much whisky.",sholvoir;toefl;exam;core,
morphology,mɔr'fɑlədʒi,n  形态学， 形态论,the study of the  morpheme s  of a language and of the way in which they are joined together to make words,Morpheme is the basic unit in the study of morphology.,sholvoir;toefl;exam;core,
