word,phonetic,definition_zh,definition_en,example,tags,audio_file
tie,taɪ,v  系， 拴， 绑; n 平局，不分胜负,"to fasten things together or hold them in a particular position using a piece of string, rope etc; the result of a game, competition, or election when two or more people or teams get the same number of points, votes etc",I tie my hair back when I’m jogging.,sholvoir;gre;exam;core,
rendition,rɛn'dɪʃən,n  表演， 演唱,"someone’s performance of a play, piece of music etc",He gave a moving rendition of Lennon’s ‘Imagine’.,sholvoir;gre;exam;core,
gumption,'ɡʌmpʃən,n  进取心， 魄力； 精明强干,the ability and determination to decide what needs to be done and to do it,At least she had the gumption to phone me.,sholvoir;gre;exam;core,
myriad,'miriəd,adj  许多的， 无数的,very many,the myriad causes of homelessness,sholvoir;gre;exam;core,
tattle,'tætl,v  闲聊； 泄露秘密,,...instruct our children not to tattle on one another.,sholvoir;gre;exam;core,
disperse,dɪ'spɝs,v  消散， 驱散,"if a group of people disperse or are dispersed, they go away in different directions",Police used tear gas to disperse the crowd.,sholvoir;gre;exam;core,
erratic,ɪ'rætɪk,adj  无规律的， 不稳定的； 古怪的,something that is erratic does not follow any pattern or plan but happens in a way that is not regular,His breathing was becoming erratic.,sholvoir;gre;exam;core,
adoration,",ædə'reʃən",n  崇拜， 爱慕,great love and admiration,the look of adoration in his eyes,sholvoir;gre;exam;core,
cinder,'sɪndɚ,n  余烬， 煤渣,"a very small piece of burnt wood, coal etc",a cold hearth full of cinders,sholvoir;gre;exam;core,
fantasy,'fæntəsi,n  想象， 幻想,"an exciting and unusual experience or situation you imagine happening to you, but which will probably never happen",I used to have fantasies about living in Paris with an artist.,sholvoir;gre;exam;core,
erode,ɪ'rod,v  侵蚀； 受到侵蚀,"if the weather erodes rock or soil, or if rock or soil erodes, its surface is gradually destroyed",The cliffs are being constantly eroded by heavy seas.,sholvoir;gre;exam;core,
informative,ɪn'fɔrmətɪv,adj  提供信息的； 见闻广博的,Something that is informative gives you useful information,Both men termed the meeting friendly and informative.,sholvoir;gre;exam;core,
tusk,tʌsk,n  长牙,"one of a pair of very long pointed teeth, that stick out of the mouth of animals such as  elephants ",A huge tusk decorated the wall of his study.,sholvoir;gre;exam;core,
sane,sen,adj  神志清楚的； 明智的,able to think in a normal and reasonable way,He seems perfectly sane (= completely sane ) to me.,sholvoir;gre;exam;core,
frustrate,'frʌstret,v  挫败， 使沮丧,"if something frustrates you, it makes you feel annoyed or angry because you are unable to do what you want",The fact that he’s working with amateurs really frustrates him.,sholvoir;gre;exam;core,
jounce,dʒaʊns,v  颠簸地移动,,,sholvoir;gre;exam;core,
gorgeous,'ɡɔrdʒəs,adj  华丽的； 极好的,extremely beautiful or attractive,‘What do you think of my new flatmate?’ ‘He’s absolutely gorgeous !’,sholvoir;gre;exam;core,
importune,",ɪmpɔr'tun",v  强求， 胡搅蛮缠,"If someone importunes another person, they ask them for something or ask them to do something, in an annoying way",One can no longer walk the streets without seeing beggars importuning passersby.,sholvoir;gre;exam;core,
wacky,'wæki,adj  古怪的， 乖僻的,silly in an exciting or amusing way,a wonderfully wacky idea,sholvoir;gre;exam;core,
harp,hɑrp,v  弹竖琴； 喋喋不休地说或写; n 竖琴,"a large musical instrument with strings that are stretched across a vertical frame with three corners, and that you play with your fingers",He played an Irish melody on the harp.,sholvoir;gre;exam;core,
inmate,'ɪnmet,n  同住者， 同居者,,...education for prison inmates.,sholvoir;gre;exam;core,
fickleness,'fɪkəlnəs,n  浮躁； 变化无常,,His story became a parable for the fickleness of art and life.,sholvoir;gre;exam;core,
embody,ɪm'bɑdi,v  使具体化， 体现,to be a very good example of an idea or quality,She embodies everything I admire in a teacher.,sholvoir;gre;exam;core,
regale,rɪ'ɡel,v  款待， 宴请； 使…快乐,,,sholvoir;gre;exam;core,
welter,'wɛltɚ,n  混乱， 杂乱无章,a large and confusing amount or number of something,There is a welter of information on the subject.,sholvoir;gre;exam;core,
muster,'mʌstɚ,v  召集， 聚集,"if soldiers muster, or if someone musters them, they come together in a group","In April 1185, he began to muster an army .",sholvoir;gre;exam;core,
verifiable,"'vɛrə,faɪəbl",adj  能作证的,Something that is verifiable can be proved to be true or genuine,This is not a romantic notion but verifiable fact.,sholvoir;gre;exam;core,
ascent,ə'sɛnt,n  上升， 攀登； 上坡路； 提高， 提升,the act of climbing something or moving upwards,the first ascent of Qomolangma,sholvoir;gre;exam;core,
comprehensible,'kɑmprɪ'hɛnsəbl,adj  可理解的， 易于理解的,easy to understand,Her speech was slurred and barely comprehensible.,sholvoir;gre;exam;core,
motivate,'motə'vet,v  激发， 刺激,to make someone want to achieve something and make them willing to work hard in order to do this,A good teacher has to be able to motivate her students.,sholvoir;gre;exam;core,
projection,prə'dʒɛkʃən,n  突起物， 隆起物； 设计， 规划； 发射， 投射,the act of imagining that someone else is feeling the same emotions as you,projection equipment,sholvoir;gre;exam;core,
dissident,'dɪsɪdənt,n  唱反调者,,,sholvoir;gre;exam;core,
multiply,'mʌltɪplaɪ,v  乘； 增加； 繁殖,to breed,Bacteria multiply quickly in warm food.,sholvoir;gre;exam;core,
fluffy,'flʌfi,adj  有绒毛的； 无聊的， 琐碎的,,a fluffy little kitten,sholvoir;gre;exam;core,
immolate,'ɪməlet,v  牺牲， 献祭,,He would immolate himself for their noble cause .,sholvoir;gre;exam;core,
hauteur,əu'tə:,n  傲慢,"a proud, very unfriendly manner","Once, she had been put off by his hauteur.",sholvoir;gre;exam;core,
hedonist,'hidənɪst,n  享乐主义者,someone who believes that pleasure is the most important thing in life,"He is at once a hedonist who preaches prudence and temperance, a theist who rejects divine intervention and the survival of the soul, and an atomist who upholds both mechanism and free will.",sholvoir;gre;exam;core,
hypochondriac,",haɪpə'kɑndrɪæk",adj  忧郁症的; n 忧郁症患者,"someone who always worries about their health and thinks they may be ill, even when they are really not ill","Sian: Exactly, this term is a combination of 'cyber' — relating to computers — and hypochondriac.",sholvoir;gre;exam;core,
conducive,kən'dusɪv,adj  有助于…的， 有益的,"if a situation is conducive to something such as work, rest etc, it provides conditions that make it easy for you to work etc",an environment conducive to learning,sholvoir;gre;exam;core,
iridescent,",ɪrɪ'dɛsnt",adj  色彩斑斓的,showing colours that seem to change in different lights,small iridescent blue flies,sholvoir;gre;exam;core,
multiple,'mʌltəpl,adj  多样的， 多重的,"many, or involving many things, people, events etc",Baxter was rushed to the hospital with multiple stab wounds.,sholvoir;gre;exam;core,
chaffing,'tʃæfɪŋ,adj  玩笑的， 嘲弄的,,,sholvoir;gre;exam;core,
requite,rɪ'kwaɪt,v  报答； 报复,to give or do something in return for something done or given to you,I represent all of the children to guarantee : we 'll study hard to requite you !,sholvoir;gre;exam;core,
haggard,'hæɡɚd,adj  憔悴的， 消瘦的,"someone who looks haggard has lines on their face and dark marks around their eyes, especially because they are ill, worried, or tired",Sam looked tired and haggard.,sholvoir;gre;exam;core,
poignant,'pɔɪnjənt,adj  令人痛苦的， 伤心的； 尖锐的， 尖刻的,making you feel sad or full of pity,,sholvoir;gre;exam;core,
puncture,'pʌŋktʃɚ,v 刺穿，戳破; n  刺孔， 穿孔,"if a tyre punctures, or if you puncture it, a small hole appears in it; a small hole made by a sharp point, especially in someone’s body",A piece of glass punctured the back tyre.,sholvoir;gre;exam;core,
omnivorous,ɑm'nɪvərəs,adj  杂食的； 兴趣杂的,an animal that is omnivorous eats both meat and plants,an omnivorous reader,sholvoir;gre;exam;core,
foolproof,'fulpruf,adj  极易懂的， 十分简单的,,a foolproof way of preventing credit card fraud,sholvoir;gre;exam;core,
taking,'tekɪŋ,adj  楚楚动人的， 迷人的,"charming, fascinating, or intriguing ",,sholvoir;gre;exam;core,
terrifying,ˈtɛrəˌfaɪɪŋ,adj  恐怖的,"If something is terrifying, it makes you very frightened",I still find it terrifying to find myself surrounded by large numbers of horses.,sholvoir;gre;exam;core,
romance,ro'mæns,v  虚构; n 传奇故事；虚构；浪漫氛围；风流韵事,an exciting and often short relationship between two people who love each other,Michelle married him after a whirlwind romance (= one that happens very suddenly and quickly ) .,sholvoir;gre;exam;core,
impeach,ɪm'pitʃ,v  控告； 怀疑； 弹劾,"if a government official is impeached, they are formally charged with a serious crime in a special government court",The governor was impeached for using state funds improperly.,sholvoir;gre;exam;core,
artistry,'ɑrtɪstri,n  艺术技巧,skill in a particular artistic activity,the artistry of dance,sholvoir;gre;exam;core,
catalog,'kætəlɔg,n  目录； 系列,,Can you catalog all these books?,sholvoir;gre;exam;core,
immortal,ɪ'mɔrtl,adj  不朽的， 流芳百世的,living or continuing for ever,Plato believed that the soul is immortal.,sholvoir;gre;exam;core,
narcissist,nɑr'sɪsɪst,n  自恋狂， 自恋者,,"Sister Hibiscus says things as if she is living in a romance novel. Many call her a narcissist, but she prefers the term ""self- confidence. """"",sholvoir;gre;exam;core,
sate,set,v  使心满意足， 使厌腻,to satisfy (a desire or appetite) fully ,,sholvoir;gre;exam;core,
conjecture,kən'dʒɛktʃɚ,v&n  推测， 臆测,when you form ideas or opinions without having very much information to base them on,What she said was pure conjecture .,sholvoir;gre;exam;core,
burlesque,bɝ'lɛsk,n  讽刺或滑稽的戏剧， 滑稽剧,"speech, acting, or writing in which a serious subject is made to seem silly or an unimportant subject is treated in a serious way",The book read like a black comic burlesque.,sholvoir;gre;exam;core,
sash,sæʃ,n  肩带,a long piece of cloth that you wear around your waist like a belt,She wore a white dress with a thin blue sash.,sholvoir;gre;exam;core,
carrion,'kærɪən,n  腐肉,"the decaying flesh of dead animals, which is eaten by some animals and birds",They range widely in search of carrion.,sholvoir;gre;exam;core,
conceit,kən'sit,n  自负， 自大,an attitude that shows you have too high an opinion of your own abilities or importance,The conceit of the woman!,sholvoir;gre;exam;core,
indelible,ɪn'dɛləbl,adj  擦拭不掉的， 不可磨灭的,Indelible ink or an indelible stain cannot be removed or washed out,It leaves indelible stains on clothes.,sholvoir;gre;exam;core,
timid,'tɪmɪd,adj  羞怯的； 胆怯的， 怯懦的,not having courage or confidence,I was a timid child.,sholvoir;gre;exam;core,
decentralize,di'sɛntrə'laɪz,v  分散， 权力下放 from central government to regional government),"to move parts of a government, organization etc from a central place to several different smaller ones",Many firms are decentralizing their operations.,sholvoir;gre;exam;core,
phobia,'fobɪə,n  恐惧症,a strong unreasonable fear of something,Some children suffer from school phobia .,sholvoir;gre;exam;core,
angular,'æŋɡjəlɚ,adj  生硬的， 笨拙的； 有角的； 瘦削的,having sharp and definite corners,a cubist painting with angular shapes,sholvoir;gre;exam;core,
remit,'rimɪt,v  免除； 宽恕； 汇款,to send a payment,Please remit payment by cheque.,sholvoir;gre;exam;core,
fallow,'fælo,adj  休耕的; n 休耕地,fallow land is dug or  ploughed  but is not used for growing crops; land treated in this way ,They let the land lie fallow for a year.,sholvoir;gre;exam;core,
assuredness,ə'ʃurdnəs,n  确定； 自信,,Say it with assuredness.,sholvoir;gre;exam;core,
podium,'podɪəm,n  讲坛， 指挥台,"a small raised area for a performer, speaker, or musical  conductor  to stand on","Unsteadily he mounted the podium, adjusted the microphone, coughed, and went completely blank.",sholvoir;gre;exam;core,
ensue,ɪn'su,v  接着发生,to happen after or as a result of something,"If the Europeans did not reduce subsidies, a trade war would ensue.",sholvoir;gre;exam;core,
weightless,'wetləs,adj  无重力的， 失重的,"something that is weightless seems to have no weight, especially when it is floating in space or water",Photons have no mass – they are weightless.,sholvoir;gre;exam;core,
hash,hæʃ,n  杂乱， 混乱； 杂烩菜,,,sholvoir;gre;exam;core,
homage,'hɑmɪdʒ,n  效忠； 敬意,something you do to show respect for someone or something you think is important,The film pays homage to Martin Scorsese’s ‘Mean Streets’.,sholvoir;gre;exam;core,
pine,paɪn,v  憔悴； 渴望; n 松树,"If you pine for something, you want it very much, especially when it is unlikely that you will be able to have it; a tall tree with long hard sharp leaves that do not fall off in winter",I pine for the countryside.,sholvoir;gre;exam;core,
stagger,'stægɚ,v  蹒跚， 摇晃,"to walk or move unsteadily, almost falling over",He managed to stagger home.,sholvoir;gre;exam;core,
enliven,ɪn'laɪvən,v  使…更活跃或更愉快,to make something more interesting,Humour can help enliven a dull subject.,sholvoir;gre;exam;core,
syndrome,'sɪndrəm,n  综合症,an illness which consists of a set of physical or mental problems – often used in the name of illnesses,people who suffer from irritable bowel syndrome,sholvoir;gre;exam;core,
fraternity,frə'tɝnəti,n  同行； 友爱,Fraternity refers to friendship and support between people who feel they are closely linked to each other,Bob needs the fraternity of others who share his mission.,sholvoir;gre;exam;core,
redundancy,rɪ'dʌndənsi,n  多余， 累赘； 裁员； 人浮于事,"a situation in which someone has to leave their job, because they are no longer needed",The closure of the export department resulted in over 100 redundancies.,sholvoir;gre;exam;core,
rote,rot,n  死记硬背,"when you learn something by repeating it many times, without thinking about it carefully or without understanding it","In old-fashioned schools, much learning was by rote .",sholvoir;gre;exam;core,
forfeiture,'fɔrfətʃɚ,n  丧失,when someone has their property or money officially taken away because they have broken a law or rule,Refusal to sign meant forfeiture of property and exile.,sholvoir;gre;exam;core,
jagged,'dʒæɡɪd,adj  锯齿状的， 参差不齐的,having a rough or pointed edge or surface,the broken bottle’s jagged edge,sholvoir;gre;exam;core,
harmonic,hɑr'mɑnɪk,adj  和声的； 和谐的,relating to the way notes are played or sung together to give a pleasing sound,harmonic scales,sholvoir;gre;exam;core,
toy,tɔɪ,v  不认真地对待， 玩弄,,,sholvoir;gre;exam;core,
beholden,bɪ'holdən,adj  因受恩惠而心存感激，感谢；欠人情,"If you are beholden to someone, you are in debt to them in some way or you feel that you have a duty to them because they have helped you",We feel really beholden to them for what they've done.,sholvoir;gre;exam;core,
impoverish,ɪm'pɑvərɪʃ,v  使贫穷,to make someone very poor,Falling coffee prices have impoverished many developing economies.,sholvoir;gre;exam;core,
hallowed,'hælod,adj  神圣的,holy or made holy by religious practices,The bones will be buried in hallowed ground.,sholvoir;gre;exam;core,
whirlpool,'wɝlpul,n  旋涡,a powerful current of water that spins around and can pull things down into it,people who are caught in a whirlpool of grief,sholvoir;gre;exam;core,
intellectual,",ɪntə'lɛktʃuəl",adj 智力的；理性的; n  知识分子,"relating to the ability to understand things and think intelligently; an intelligent, well-educated person who spends time thinking about complicated ideas and discussing them",Mark’s very intellectual.,sholvoir;gre;exam;core,
reclaim,rɪ'klem,v  纠正， 改造； 开垦,"to make an area of desert, wet land etc suitable for farming or building",This land will be reclaimed for a new airport.,sholvoir;gre;exam;core,
interchangeable,",ɪntɚ'tʃendʒəbl",adj  可互换的,things that are interchangeable can be used instead of each other,These two words are almost interchangeable.,sholvoir;gre;exam;core,
allegory,'æləɡɔri,n  寓言,"a story, painting etc in which the events and characters represent ideas or teach a moral lesson",The poem's comic allegory was transparent.,sholvoir;gre;exam;core,
sarcastic,sɑr'kæstɪk,adj  讽刺的,"saying things that are the opposite of what you mean, in order to make an unkind joke or to show that you are annoyed",Was she being sarcastic?,sholvoir;gre;exam;core,
interchangeably,ɪntɚ'tʃendʒəbli,adv  可互换地,,"Despite the apparent clarity around the distinct origins and meaning of the caduceus and the staff of aesculapius, they are both used commonly, and of ten interchangeably, every day.",sholvoir;gre;exam;core,
disengage,'dɪsɪn'gedʒ,v  脱离， 解开,to move so that you are not touching or holding someone,Disengage the gears when you park the car.,sholvoir;gre;exam;core,
officious,ə'fɪʃəs,adj  过于殷勤的， 多管闲事的； 非官方的,,an officious traffic warden,sholvoir;gre;exam;core,
resurrect,",rezə'rekt",v  使复活； 复兴,"to bring back an old activity, belief, idea etc that has not existed for a long time",The Home Office have resurrected plans to build a new prison just outside London.,sholvoir;gre;exam;core,
cosycozy,'kouzi,adj  温暖而舒适的,,,sholvoir;gre;exam;core,
cantankerous,kæn'tæŋkərəs,adj  脾气坏的； 好争吵的,bad-tempered and complaining a lot,a cantankerous old man,sholvoir;gre;exam;core,
con,kɑn,v  欺骗; n 反对论,"to get money from someone by deceiving them; an argument or vote against a proposal, motion, etc ","He claimed that the businessman had conned him of $10,000.",sholvoir;gre;exam;core,
kudos,'kudɑs,n  声誉， 名声,the state of being admired and respected for being important or for doing something important,He acquired kudos just by appearing on television.,sholvoir;gre;exam;core,
cow,kaʊ,n 母牛，奶牛; v 恐吓，威胁,a large female animal that is kept on farms and used to produce milk or meat; to frighten someone in order to make them do something,a herd of cows,sholvoir;gre;exam;core,
quack,kwæk,adj  庸医的; n 冒牌医生，庸医,relating to the activities or medicines of someone who pretends to be a doctor; someone who pretends to be a doctor – used in order to show disapproval,a quack remedy,sholvoir;gre;exam;core,
reverberate,rɪ'vɝbə'ret,v  发出回声， 回响,"if a loud sound reverberates, it is heard many times as it is sent back from different surfaces","Day in and day out, the flat crack of the tank guns reverberates through the little Bavarian town.",sholvoir;gre;exam;core,
coy,kɔɪ,adj  腼腆的， 忸怩作态的,shy or pretending to be shy in order to attract people’s interest,She gave him a coy smile.,sholvoir;gre;exam;core,
pacify,'pæsə'fai,v  使安静， 抚慰,"to make someone calm, quiet, and satisfied after they have been angry or upset","‘You’re right,’ Rita said, in order to pacify him.",sholvoir;gre;exam;core,
bruise,bruz,v  受伤， 擦伤,"if part of your body bruises, or if you bruise part of your body, it gets hit or hurt and a bruise appears",She fell off her bike and bruised her knee.,sholvoir;gre;exam;core,
automation,",ɔtə'meʃən",n  自动装置,the use of computers and machines instead of people to do a job,"Then you could have your test automation read, parse, and use the data in this file.",sholvoir;gre;exam;core,
academic,",ækə'dɛmɪk",adj  学院的， 学术的； 理论的,"relating to education, especially at college or university level",He possessed no academic qualifications.,sholvoir;gre;exam;core,
rove,rov,v  流浪， 漂泊,to travel from one place to another,a salesman roving the country,sholvoir;gre;exam;core,
patriot,'petrɪət,n  爱国者， 爱国主义者,someone who loves their country and is willing to defend it – used to show approval,It has been suggested the founders were not true patriots but men out to protect their own interests.,sholvoir;gre;exam;core,
pernicious,pɚ'nɪʃəs,adj  有害的； 致命的,"very harmful or evil, often in a way that you do not notice easily",the pernicious effects of poverty,sholvoir;gre;exam;core,
rout,raʊt,n  溃败,"a complete defeat in a battle, competition, or election",The battle turned into a rout.,sholvoir;gre;exam;core,
peddle,'pɛdl,v  兜售,"to sell goods to people, especially goods that people disapprove of because they are illegal, harmful, or of not very high quality",They were accused of peddling drugs .,sholvoir;gre;exam;core,
indistinguishable,'ɪndɪ'stɪŋgwɪʃəbl,adj  无法区分的， 难以分辨的,things that are indistinguishable are so similar that you cannot see any difference between them,Replica weapons are indistinguishable from the real thing.,sholvoir;gre;exam;core,
acidic,ə'sɪdɪk,adj  酸的， 酸性的,very sour,Some fruit juices taste a bit acidic.,sholvoir;gre;exam;core,
hawk,hɔk,n  隼， 鹰,a large bird that hunts and eats small birds and animals,She watched his every move like a hawk.,sholvoir;gre;exam;core,
voracity,və'ræsəti,n  贪食； 贪婪,,,sholvoir;gre;exam;core,
impenitent,ɪm'pɛnɪtənt,adj  不知悔悟的,not sorry or penitent; unrepentant ,,sholvoir;gre;exam;core,
avocation,'ævo'keʃən,n  副业； 嗜好,"Your avocation is a job or activity that you do because you are interested in it, rather than to earn your living",He was a printer by trade and naturalist by avocation.,sholvoir;gre;exam;core,
scission,'sɪʒən,n  切断， 分离， 断开,"the act or an instance of cutting, splitting, or dividing ",,sholvoir;gre;exam;core,
hazy,'hezi,adj  朦胧的， 不清楚的,"air that is hazy is not clear because there is a lot of smoke, dust, or mist in it",hazy sunshine,sholvoir;gre;exam;core,
renowned,ri'naund,adj  有名的,"known and admired by a lot of people, especially for a special skill, achievement, or quality",The area is renowned for its Romanesque churches.,sholvoir;gre;exam;core,
clammy,'klæmi,adj  湿冷的， 发粘的,"feeling unpleasantly wet, cold, and sticky",Get your clammy hands off me!,sholvoir;gre;exam;core,
effective,ɪ'fɛktɪv,adj  有效的， 生效的； 给人印象深刻的,"successful, and working in the way that was intended",The cheaper drugs are just as effective in treating arthritis.,sholvoir;gre;exam;core,
pother,'pɔðə,v  烦恼; n 喧扰，骚动,"to make or be troubled or upset ; a commotion, fuss, or disturbance ",,sholvoir;gre;exam;core,
flux,flʌks,n  不断的变动， 变迁， 动荡不安,a situation in which things are changing a lot and you cannot be sure what will happen,Everything is in flux at the moment.,sholvoir;gre;exam;core,
skullduggery,skʌl'dʌɡəri,n  欺骗， 使诈,,There must be political skullduggery afoot!,sholvoir;gre;exam;core,
slattern,'slætərn,adj 不整洁的; n  邋遢的女人,a dirty untidy woman – used to show disapproval,A woman regarded as slovenly OR untidy; a slattern.,sholvoir;gre;exam;core,
resurgence,rɪ'sɝdʒəns,n  再起， 复活， 再现,the reappearance and growth of something that was common in the past,Police say drugs traffickers are behind the resurgence of violence.,sholvoir;gre;exam;core,
ideological,",aɪdɪə'lɑdʒɪkl",adj  意识形态的， 思想体系的； 思想上的,"based on strong beliefs or ideas, especially political or economic ideas",The party is split by ideological differences.,sholvoir;gre;exam;core,
celibate,'sɛlɪbət,adj  不结婚的; n 独身者,A celibate is someone who is celibate,The Pope bluntly told the world's priests yesterday to stay celibate.,sholvoir;gre;exam;core,
